x,y,z
63.916004,38.714,33.524002
28.760002,61.692,4.066
28.970001,61.800003,4.446
29.090002,61.936005,4.418
28.332,61.49,5.236
28.038002,61.348003,5.2500005
28.218,61.544003,5.4480004
58.586002,38.210003,57.864002
58.924004,38.132,57.300003
58.362003,38.624,57.15
57.532,39.656002,56.648003
57.516003,39.56,56.858
57.732002,39.382,56.700005
21.69,6.702,210.91402
22.084002,6.826,211.156
21.7,6.7240005,211.27
19.86,6.7060003,210.81801
20.368,6.6280003,210.714
20.490002,6.6400003,210.96
53.904003,30.010002,113.3
53.898003,29.460001,112.992004
54.096,30.574001,113.422005
52.258003,23.658,111.490005
52.176003,23.488,111.41
52.45,24.02,111.424
25.478,20.406,86.246
25.516,20.558,86.288
25.308,20.67,85.756004
25.896002,20.088001,87.006004
26.02,20.186,87.23601
25.896002,20.512001,87.138
62.768,37.556004,39.962
62.924004,37.56,39.460003
62.850002,37.678,39.382
63.084003,37.22,42.794003
63.532,37.288002,43.858
63.74,37.4,43.06
26.538002,16.372002,187.30402
27.242,16.372002,187.22002
27.12,16.060001,187.14201
28.944002,15.724001,187.19601
